=== Intra-network pings for net_1 ===
2025/06/28 12:05:26 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_1] clab-nebula-serf13 (10.0.1.22): 9.655ms (test duration: 69ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_1] clab-nebula-serf14 (10.0.1.23): 12.166ms (test duration: 78ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_1] clab-nebula-serf9 (10.0.1.18): 7.090ms (test duration: 66ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_1] clab-nebula-serf10 (10.0.1.19): 6.292ms (test duration: 61ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_1] clab-nebula-serf11 (10.0.1.20): 4.980ms (test duration: 62ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_1] clab-nebula-serf12 (10.0.1.21): 13.692ms (test duration: 68ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_1] clab-nebula-serf13 (10.0.1.22): 11.130ms (test duration: 69ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_1] clab-nebula-serf14 (10.0.1.23): 11.996ms (test duration: 69ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_1] clab-nebula-serf10 (10.0.1.19): 2.433ms (test duration: 71ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_1] clab-nebula-serf11 (10.0.1.20): 2.613ms (test duration: 71ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_1] clab-nebula-serf12 (10.0.1.21): 9.655ms (test duration: 67ms)
2025/06/28 12:05:26 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_1] clab-nebula-serf13 (10.0.1.22): 6.659ms (test duration: 78ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_1] clab-nebula-serf14 (10.0.1.23): 9.832ms (test duration: 69ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf10 (10.0.1.19) → [net_1] clab-nebula-serf11 (10.0.1.20): 1.392ms (test duration: 71ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf10 (10.0.1.19) → [net_1] clab-nebula-serf12 (10.0.1.21): 9.385ms (test duration: 73ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf10 (10.0.1.19) → [net_1] clab-nebula-serf13 (10.0.1.22): 6.881ms (test duration: 71ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf10 (10.0.1.19) → [net_1] clab-nebula-serf14 (10.0.1.23): 9.565ms (test duration: 71ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf11 (10.0.1.20) → [net_1] clab-nebula-serf12 (10.0.1.21): 8.889ms (test duration: 71ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf11 (10.0.1.20) → [net_1] clab-nebula-serf13 (10.0.1.22): 5.918ms (test duration: 74ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf11 (10.0.1.20) → [net_1] clab-nebula-serf14 (10.0.1.23): 8.832ms (test duration: 74ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf12 (10.0.1.21) → [net_1] clab-nebula-serf13 (10.0.1.22): 7.704ms (test duration: 63ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf12 (10.0.1.21) → [net_1] clab-nebula-serf14 (10.0.1.23): 9.354ms (test duration: 73ms)
