hilbert_order,q_node,threshold,gt,found,tp,fp,fn,precision,recall,jaccard
2,clab-nebula-serf131,25,18,161,18,143,0,0.1118,1.0,0.1118
2,clab-nebula-serf35,25,63,101,63,38,0,0.6238,1.0,0.6238
2,clab-nebula-serf40,25,71,101,70,31,1,0.6931,0.9859,0.6863
2,clab-nebula-serf144,25,23,161,23,138,0,0.1429,1.0,0.1429
2,clab-nebula-serf152,25,24,130,22,108,2,0.1692,0.9167,0.1667
2,clab-nebula-serf162,25,5,5,5,0,0,1.0,1.0,1.0
2,clab-nebula-serf41,25,40,101,40,61,0,0.396,1.0,0.396
2,clab-nebula-serf72,25,84,126,79,47,5,0.627,0.9405,0.6031
2,clab-nebula-serf141,25,14,144,13,131,1,0.0903,0.9286,0.0897
2,clab-nebula-serf25,25,44,70,41,29,3,0.5857,0.9318,0.5616
2,clab-nebula-serf50,25,81,101,79,22,2,0.7822,0.9753,0.767
2,clab-nebula-serf51,25,83,101,79,22,4,0.7822,0.9518,0.7524
2,clab-nebula-serf66,25,79,128,75,53,4,0.5859,0.9494,0.5682
2,clab-nebula-serf86,25,56,133,55,78,1,0.4135,0.9821,0.4104
2,clab-nebula-serf90,25,78,128,74,54,4,0.5781,0.9487,0.5606
2,clab-nebula-serf143,25,7,144,6,138,1,0.0417,0.8571,0.0414
2,clab-nebula-serf7,25,67,101,67,34,0,0.6634,1.0,0.6634
2,clab-nebula-serf37,25,85,101,81,20,4,0.802,0.9529,0.7714
2,clab-nebula-serf43,25,52,101,51,50,1,0.505,0.9808,0.5
2,clab-nebula-serf58,25,93,126,88,38,5,0.6984,0.9462,0.6718
2,clab-nebula-serf61,25,93,109,89,20,4,0.8165,0.957,0.7876
2,clab-nebula-serf112,25,5,32,5,27,0,0.1562,1.0,0.1562
2,clab-nebula-serf15,25,88,103,83,20,5,0.8058,0.9432,0.7685
2,clab-nebula-serf16,25,88,103,83,20,5,0.8058,0.9432,0.7685
2,clab-nebula-serf77,25,90,126,85,41,5,0.6746,0.9444,0.6489
2,clab-nebula-serf121,25,32,138,31,107,1,0.2246,0.9688,0.223
2,clab-nebula-serf140,25,14,144,13,131,1,0.0903,0.9286,0.0897
2,clab-nebula-serf148,25,12,18,12,6,0,0.6667,1.0,0.6667
2,clab-nebula-serf154,25,12,18,12,6,0,0.6667,1.0,0.6667
2,clab-nebula-serf156,25,18,61,17,44,1,0.2787,0.9444,0.2742
2,clab-nebula-serf23,25,22,48,21,27,1,0.4375,0.9545,0.4286
