node,threshold,gt,found,fp,fn,precision,recall,jaccard,hilbert_order
clab-nebula-serf80,35,120,0,0,120,0,0.0,0.0,2
clab-nebula-serf85,35,111,0,0,111,0,0.0,0.0,2
clab-nebula-serf90,35,119,0,0,119,0,0.0,0.0,2
clab-nebula-serf95,35,119,0,0,119,0,0.0,0.0,2
clab-nebula-serf100,35,89,5,0,84,1.0,0.056179775280898875,0.056179775280898875,2
clab-nebula-serf105,35,123,0,0,123,0,0.0,0.0,2
clab-nebula-serf110,35,69,0,0,69,0,0.0,0.0,2
clab-nebula-serf115,35,1,0,0,1,0,0.0,0.0,2
clab-nebula-serf120,35,3,2,0,1,1.0,0.6666666666666666,0.6666666666666666,2
clab-nebula-serf125,35,112,2,0,110,1.0,0.017857142857142856,0.017857142857142856,2
clab-nebula-serf130,35,41,0,0,41,0,0.0,0.0,2
